inst     best    BKS     gap
ta22     1613   1600  +0.81%
ta23     1570   1557  +0.83%
ta25     1631   1595  +2.26%
ta26     1660   1643  +1.03%
ta27     1696   1680  +0.95%
ta29     1628   1625  +0.18%
ta30     1597   1584  +0.82%
ta32     1815   1784  +1.74%
ta33     1837   1791  +2.57%
ta34     1856   1829  +1.48%
ta40     1711   1669  +2.52%
ta41     2069   2005  +3.19%
ta42     1983   1937  +2.37%
ta43     1906   1846  +3.25%
ta44     2025   1979  +2.32%
ta45     2016   2000  +0.80%
ta46     2053   2004  +2.45%
ta47     1940   1889  +2.70%
ta48     1998   1937  +3.15%
ta49     1996   1961  +1.78%
ta50     1981   1923  +3.02%

870 runs recomputed from their schedules
at or below the best known: 0
