neigh,instance,group,n_runs,best_E,avg_E,sd_E,med_rt
n1,tai50_20_01.F.15_01,tai50_20,30,2939.5,3003.5167,32.8244,334.953
n1,tai50_20_02.F.15_01,tai50_20,30,3027.0,3083.8667,29.8739,379.344
n1,tai50_20_03.F.15_01,tai50_20,30,2798.5,2877.5,34.7302,402.695
n1,tai50_20_04.F.15_01,tai50_20,30,2764.5,2816.6667,35.0682,405.883
n1,tai50_20_05.F.15_01,tai50_20,30,2797.0,2860.1333,26.2672,395.742
n1,tai50_20_06.F.15_01,tai50_20,30,2902.0,2970.2,29.2874,398.321
n1,tai50_20_07.F.15_01,tai50_20,30,2884.0,2953.2667,41.8086,435.11
n1,tai50_20_08.F.15_01,tai50_20,30,2835.0,2872.6667,31.2336,326.132
n1,tai50_20_09.F.15_01,tai50_20,30,3077.0,3138.5667,36.086,331.258
n1,tai50_20_10.F.15_01,tai50_20,30,3102.0,3176.55,36.1265,351.523
n2,F0.15.0.abz7_06,abz7,30,668.0,675.8833,3.3417,32.055
n2,F0.15.0.abz8_05,abz8,30,674.0,687.8,5.1522,38.609
n2,F0.15.0.abz9_10,abz9,30,694.5,702.6833,4.6097,40.07
n2,F0.15.0.ft10_10,ft10,30,935.5,939.2,4.9158,6.523
n2,F0.15.0.ft20_05,ft20,30,1166.0,1167.7333,3.6853,9.062
n2,F0.15.0.la21_04,la21,30,1052.0,1060.5,5.3272,11.094
n2,F0.15.0.la24_03,la24,30,942.5,947.7833,4.8702,10.305
n2,F0.15.0.la25_04,la25,30,979.0,989.8167,6.1805,10.211
n2,F0.15.0.la27_09,la27,30,1247.0,1255.8833,3.8945,19.156
n2,F0.15.0.la29_03,la29,30,1174.5,1185.1,7.6861,21.289
n2,F0.15.0.la38_06,la38,30,1204.5,1218.8667,11.8721,19.531
n2,F0.15.0.la40_05,la40,30,1230.5,1235.3,3.6592,16.82
n2,tai15_15_01.F.15_01,tai15_15,30,1246.5,1253.8333,5.2017,19.805
n2,tai15_15_02.F.15_01,tai15_15,30,1247.0,1264.5,9.379,18.883
n2,tai15_15_03.F.15_01,tai15_15,30,1234.5,1246.5167,4.8236,22.633
n2,tai15_15_04.F.15_01,tai15_15,30,1179.0,1190.4333,8.4779,20.703
n2,tai15_15_05.F.15_01,tai15_15,30,1237.0,1251.2,5.1572,18.648
n2,tai15_15_06.F.15_01,tai15_15,30,1254.0,1262.3667,6.4567,20.023
n2,tai15_15_07.F.15_01,tai15_15,30,1234.5,1248.7,11.7051,16.266
n2,tai15_15_08.F.15_01,tai15_15,30,1231.0,1245.8833,9.1253,16.797
n2,tai15_15_09.F.15_01,tai15_15,30,1304.0,1308.7333,4.5632,17.008
n2,tai15_15_10.F.15_01,tai15_15,30,1244.0,1268.6667,17.1833,19.25
n2,tai20_15_01.F.15_01,tai20_15,30,1394.5,1412.7333,12.1738,44.594
n2,tai20_15_02.F.15_01,tai20_15,30,1388.5,1397.2167,6.6911,31.297
n2,tai20_15_03.F.15_01,tai20_15,30,1374.0,1394.5333,13.7846,43.344
n2,tai20_15_04.F.15_01,tai20_15,30,1351.0,1369.5333,7.3437,35.258
n2,tai20_15_05.F.15_01,tai20_15,30,1371.5,1392.0333,5.9494,44.414
n2,tai20_15_06.F.15_01,tai20_15,30,1386.5,1404.6167,11.8254,37.93
n2,tai20_15_07.F.15_01,tai20_15,30,1490.0,1507.95,9.8062,40.312
n2,tai20_15_08.F.15_01,tai20_15,30,1428.0,1449.0333,13.3707,44.039
n2,tai20_15_09.F.15_01,tai20_15,30,1358.5,1392.5333,18.0292,47.516
n2,tai20_15_10.F.15_01,tai20_15,30,1377.0,1395.7,12.0678,41.312
n2,tai20_20_01.F.15_01,tai20_20,30,1681.0,1703.5833,12.4818,59.82
n2,tai20_20_02.F.15_01,tai20_20,30,1626.0,1652.8,10.307,58.844
n2,tai20_20_03.F.15_01,tai20_20,30,1585.5,1606.0833,10.8898,49.391
n2,tai20_20_04.F.15_01,tai20_20,30,1667.5,1690.9667,12.2093,57.875
n2,tai20_20_05.F.15_01,tai20_20,30,1637.5,1659.2167,11.5061,58.914
n2,tai20_20_06.F.15_01,tai20_20,30,1697.0,1718.5833,14.1824,54.469
n2,tai20_20_07.F.15_01,tai20_20,30,1717.0,1735.9333,9.8144,57.586
n2,tai20_20_08.F.15_01,tai20_20,30,1638.0,1655.4333,11.44,59.586
n2,tai20_20_09.F.15_01,tai20_20,30,1652.0,1663.7833,9.3723,50.094
n2,tai20_20_10.F.15_01,tai20_20,30,1619.5,1636.95,10.9822,69.773
n2,tai30_15_01.F.15_01,tai30_15,30,1782.0,1798.8333,10.7225,101.875
n2,tai30_15_02.F.15_01,tai30_15,30,1848.0,1868.3833,12.0985,127.109
n2,tai30_15_03.F.15_01,tai30_15,30,1855.0,1870.4667,10.5878,106.296
n2,tai30_15_04.F.15_01,tai30_15,30,1890.0,1914.4167,15.707,97.617
n2,tai30_15_05.F.15_01,tai30_15,30,2007.0,2012.3,4.6565,61.125
n2,tai30_15_06.F.15_01,tai30_15,30,1842.5,1870.3833,18.9512,104.578
n2,tai30_15_07.F.15_01,tai30_15,30,1822.0,1839.1833,9.7322,112.836
n2,tai30_15_08.F.15_01,tai30_15,30,1726.0,1745.7667,10.5909,121.875
n2,tai30_15_09.F.15_01,tai30_15,30,1821.0,1842.9667,11.0375,89.547
n2,tai30_15_10.F.15_01,tai30_15,30,1720.0,1752.8167,13.7273,102.039
n2,tai30_20_01.F.15_01,tai30_20,30,2090.5,2136.9667,22.3367,158.016
n2,tai30_20_02.F.15_01,tai30_20,30,2008.0,2041.5167,17.3987,191.75
n2,tai30_20_03.F.15_01,tai30_20,30,1911.5,1966.8167,23.7735,197.047
n2,tai30_20_04.F.15_01,tai30_20,30,2040.0,2081.5667,22.7762,151.203
n2,tai30_20_05.F.15_01,tai30_20,30,2051.0,2080.3167,14.8315,132.016
n2,tai30_20_06.F.15_01,tai30_20,30,2091.5,2127.0333,22.3849,168.094
n2,tai30_20_07.F.15_01,tai30_20,30,1986.0,2015.3667,16.6428,161.336
n2,tai30_20_08.F.15_01,tai30_20,30,2029.5,2062.5167,18.6008,161.062
n2,tai30_20_09.F.15_01,tai30_20,30,2027.5,2056.4,17.9829,155.359
n2,tai30_20_10.F.15_01,tai30_20,30,2002.0,2042.5,20.5464,163.094
n2,tai50_15_01.F.15_01,tai50_15,30,2760.0,2760.6,2.0485,203.993
n2,tai50_15_02.F.15_01,tai50_15,30,2756.0,2758.8167,4.8928,211.984
n2,tai50_15_03.F.15_01,tai50_15,30,2718.0,2718.0167,0.0913,161.609
n2,tai50_15_04.F.15_01,tai50_15,30,2839.0,2839.5,2.7386,107.531
n2,tai50_15_05.F.15_01,tai50_15,30,2688.0,2702.25,13.7826,244.257
n2,tai50_15_06.F.15_01,tai50_15,30,2784.0,2788.6167,8.3425,155.633
n2,tai50_15_07.F.15_01,tai50_15,30,2943.0,2943.75,2.487,126.906
n2,tai50_15_08.F.15_01,tai50_15,30,2905.0,2905.0,0.0,125.422
n2,tai50_15_09.F.15_01,tai50_15,30,2667.0,2674.9833,11.4962,209.172
n2,tai50_15_10.F.15_01,tai50_15,30,2726.0,2734.1667,14.2782,185.031
