neigh,instance,group,n_runs,best_E,avg_E,sd_E,med_rt
n8,tai50_15_08.F.15_01,tai50_15,30,2905.0,2905.0,0.0,184.274
n8,tai50_15_09.F.15_01,tai50_15,30,2667.0,2676.4833,15.3637,385.039
n8,tai50_15_10.F.15_01,tai50_15,30,2726.0,2732.4667,8.3871,261.258
n8,tai50_20_01.F.15_01,tai50_20,30,2881.5,2930.5333,23.5654,783.836
n8,tai50_20_02.F.15_01,tai50_20,30,2964.0,3014.85,30.5558,653.336
n8,tai50_20_03.F.15_01,tai50_20,30,2766.5,2800.8333,22.7241,749.883
n8,tai50_20_04.F.15_01,tai50_20,30,2705.5,2740.8333,16.9387,688.696
n8,tai50_20_05.F.15_01,tai50_20,30,2754.5,2788.1333,19.4049,741.328
n8,tai50_20_06.F.15_01,tai50_20,30,2871.5,2900.6,22.335,654.867
n8,tai50_20_07.F.15_01,tai50_20,30,2862.0,2888.4,18.4888,787.649
n8,tai50_20_08.F.15_01,tai50_20,30,2791.5,2816.0,14.172,534.461
n8,tai50_20_09.F.15_01,tai50_20,30,3071.0,3082.5667,16.9139,460.976
n8,tai50_20_10.F.15_01,tai50_20,30,3049.0,3081.8667,21.192,701.399
next,F0.15.0.abz7_06,abz7,30,671.0,677.2667,3.6145,29.078
next,F0.15.0.abz8_05,abz8,30,680.0,687.0,4.0236,31.68
next,F0.15.0.abz9_10,abz9,30,696.5,705.8,5.9908,30.32
next,F0.15.0.ft10_10,ft10,30,935.5,939.0,4.2851,4.836
next,F0.15.0.ft20_05,ft20,30,1166.0,1168.3667,4.1893,9.789
next,F0.15.0.la21_04,la21,30,1052.0,1061.45,6.1789,8.062
next,F0.15.0.la24_03,la24,30,940.5,947.7333,5.1239,7.898
next,F0.15.0.la25_04,la25,30,984.5,992.2167,6.2749,8.805
next,F0.15.0.la27_09,la27,30,1246.0,1258.65,5.8798,18.258
next,F0.15.0.la29_03,la29,30,1174.0,1188.3167,10.6654,20.641
next,F0.15.0.la38_06,la38,30,1204.5,1218.4667,9.8742,14.102
next,F0.15.0.la40_05,la40,30,1229.5,1235.9,5.9819,13.336
next,tai15_15_01.F.15_01,tai15_15,30,1246.5,1256.2,7.0118,15.812
next,tai15_15_02.F.15_01,tai15_15,30,1260.5,1265.7167,5.8585,13.438
next,tai15_15_03.F.15_01,tai15_15,30,1234.0,1244.6333,6.9901,14.883
next,tai15_15_04.F.15_01,tai15_15,30,1179.0,1194.1333,9.5194,13.57
next,tai15_15_05.F.15_01,tai15_15,30,1241.5,1252.0,5.2736,13.242
next,tai15_15_06.F.15_01,tai15_15,30,1257.5,1265.85,9.4332,15.586
next,tai15_15_07.F.15_01,tai15_15,30,1234.5,1250.65,11.6664,12.547
next,tai15_15_08.F.15_01,tai15_15,30,1237.5,1247.3167,9.5452,11.367
next,tai15_15_09.F.15_01,tai15_15,30,1304.0,1313.4667,8.684,13.023
next,tai15_15_10.F.15_01,tai15_15,30,1244.0,1274.5,16.8344,14.375
next,tai20_15_01.F.15_01,tai20_15,30,1389.0,1414.15,12.3051,32.172
next,tai20_15_02.F.15_01,tai20_15,30,1390.0,1401.9,7.6692,30.062
next,tai20_15_03.F.15_01,tai20_15,30,1369.0,1399.45,12.0869,31.562
next,tai20_15_04.F.15_01,tai20_15,30,1357.5,1368.65,6.649,27.711
next,tai20_15_05.F.15_01,tai20_15,30,1379.5,1399.75,9.3096,31.703
next,tai20_15_06.F.15_01,tai20_15,30,1370.0,1406.4167,14.1872,28.273
next,tai20_15_07.F.15_01,tai20_15,30,1489.5,1514.55,10.6991,27.109
next,tai20_15_08.F.15_01,tai20_15,30,1425.5,1454.0833,16.4165,36.844
next,tai20_15_09.F.15_01,tai20_15,30,1368.0,1394.1333,16.5597,35.031
next,tai20_15_10.F.15_01,tai20_15,30,1383.0,1400.0333,10.2258,32.312
next,tai20_20_01.F.15_01,tai20_20,30,1676.0,1711.5167,13.0922,44.07
next,tai20_20_02.F.15_01,tai20_20,30,1632.0,1655.4167,11.1247,42.617
next,tai20_20_03.F.15_01,tai20_20,30,1594.5,1615.4833,12.2104,40.555
next,tai20_20_04.F.15_01,tai20_20,30,1664.5,1698.0333,13.8868,41.891
next,tai20_20_05.F.15_01,tai20_20,30,1638.5,1667.1,12.5954,45.844
next,tai20_20_06.F.15_01,tai20_20,30,1695.5,1721.85,13.3217,44.523
next,tai20_20_07.F.15_01,tai20_20,30,1710.5,1741.5667,13.7545,45.07
next,tai20_20_08.F.15_01,tai20_20,30,1639.0,1659.1333,12.0851,44.93
next,tai20_20_09.F.15_01,tai20_20,30,1647.5,1664.1167,9.4447,37.336
next,tai20_20_10.F.15_01,tai20_20,30,1625.0,1644.1,13.4974,46.914
next,tai30_15_01.F.15_01,tai30_15,30,1778.5,1801.8667,11.6958,95.594
next,tai30_15_02.F.15_01,tai30_15,30,1844.5,1876.3333,16.875,123.851
next,tai30_15_03.F.15_01,tai30_15,30,1859.5,1876.05,12.0762,90.484
next,tai30_15_04.F.15_01,tai30_15,30,1893.5,1917.3,15.0026,82.812
next,tai30_15_05.F.15_01,tai30_15,30,2007.0,2013.0833,3.2166,65.531
next,tai30_15_06.F.15_01,tai30_15,30,1845.0,1875.9833,16.7736,103.766
next,tai30_15_07.F.15_01,tai30_15,30,1835.0,1850.45,16.2026,105.734
next,tai30_15_08.F.15_01,tai30_15,30,1724.5,1757.8833,15.9058,96.211
next,tai30_15_09.F.15_01,tai30_15,30,1821.0,1851.3333,18.6766,85.648
next,tai30_15_10.F.15_01,tai30_15,30,1748.0,1770.5833,14.7812,95.547
next,tai30_20_01.F.15_01,tai30_20,30,2093.5,2143.7667,26.3713,120.898
next,tai30_20_02.F.15_01,tai30_20,30,2022.5,2049.2,14.2905,129.656
next,tai30_20_03.F.15_01,tai30_20,30,1932.0,1975.7167,19.1845,127.469
next,tai30_20_04.F.15_01,tai30_20,30,2055.0,2095.5333,19.4887,109.0
next,tai30_20_05.F.15_01,tai30_20,30,2069.5,2092.4167,17.444,99.914
next,tai30_20_06.F.15_01,tai30_20,30,2095.0,2126.1833,17.9239,135.828
next,tai30_20_07.F.15_01,tai30_20,30,1985.5,2022.9833,21.239,123.031
next,tai30_20_08.F.15_01,tai30_20,30,2043.0,2074.5667,18.6745,128.125
next,tai30_20_09.F.15_01,tai30_20,30,2031.5,2067.2833,19.1021,111.82
next,tai30_20_10.F.15_01,tai30_20,30,1994.5,2047.9333,22.2659,121.391
next,tai50_15_01.F.15_01,tai50_15,30,2760.0,2769.6167,12.3921,352.383
next,tai50_15_02.F.15_01,tai50_15,30,2756.0,2770.0,15.8147,337.305
next,tai50_15_03.F.15_01,tai50_15,30,2718.0,2721.1667,7.8084,297.188
next,tai50_15_04.F.15_01,tai50_15,30,2839.0,2839.5,2.7386,145.969
next,tai50_15_05.F.15_01,tai50_15,30,2688.0,2719.2,19.9757,418.187
next,tai50_15_06.F.15_01,tai50_15,30,2784.0,2803.4,16.8279,361.633
next,tai50_15_07.F.15_01,tai50_15,30,2943.0,2943.25,0.774,194.719
next,tai50_15_08.F.15_01,tai50_15,30,2905.0,2905.0,0.0,197.047
next,tai50_15_09.F.15_01,tai50_15,30,2667.0,2689.05,19.3824,405.336
next,tai50_15_10.F.15_01,tai50_15,30,2726.0,2743.2333,14.5007,367.578
next,tai50_20_01.F.15_01,tai50_20,30,2902.5,2945.05,24.3991,604.305
next,tai50_20_02.F.15_01,tai50_20,30,2984.0,3028.65,27.4044,594.507
next,tai50_20_03.F.15_01,tai50_20,30,2778.5,2821.1333,25.6407,569.867
next,tai50_20_04.F.15_01,tai50_20,30,2725.5,2766.1,26.2759,663.289
next,tai50_20_05.F.15_01,tai50_20,30,2755.0,2801.9167,25.8327,780.5
next,tai50_20_06.F.15_01,tai50_20,30,2890.5,2927.3667,25.0578,789.0
next,tai50_20_07.F.15_01,tai50_20,30,2865.0,2909.5167,22.5115,850.985
next,tai50_20_08.F.15_01,tai50_20,30,2800.5,2827.6667,13.7905,691.89
next,tai50_20_09.F.15_01,tai50_20,30,3071.0,3093.6333,26.2508,667.743
next,tai50_20_10.F.15_01,tai50_20,30,3069.5,3120.75,25.3567,727.312
