neigh,step,mean_best_norm,sd_best_norm,n_obs
n2,82,0.799168,0.014874,60
n2,83,0.799052,0.01476,60
n2,84,0.798885,0.014947,60
n2,85,0.799083,0.01462,60
n2,86,0.798953,0.014668,60
n2,87,0.798814,0.014592,60
n2,88,0.798685,0.014616,60
n2,89,0.798583,0.014523,60
n2,90,0.798352,0.014479,60
n2,91,0.809913,0.009489,30
n3,0,1.0,0.0,2460
n3,1,0.900085,0.024986,2402
n3,2,0.884062,0.025766,2454
n3,3,0.873655,0.025854,2444
n3,4,0.866062,0.025851,2441
n3,5,0.860227,0.025713,2439
n3,6,0.855309,0.025601,2442
n3,7,0.851348,0.025334,2451
n3,8,0.847899,0.025042,2442
n3,9,0.844877,0.025022,2439
n3,10,0.842392,0.024768,2447
n3,11,0.84021,0.02466,2435
n3,12,0.838215,0.024543,2438
n3,13,0.836549,0.024261,2437
n3,14,0.834941,0.024041,2443
n3,15,0.833722,0.023958,2434
n3,16,0.832506,0.02378,2439
n3,17,0.831253,0.023608,2433
n3,18,0.830368,0.023422,2431
n3,19,0.829428,0.023326,2429
n3,20,0.828592,0.023122,2422
n3,21,0.827724,0.023149,2427
n3,22,0.827001,0.023133,2416
n3,23,0.826352,0.022971,2416
n3,24,0.82583,0.022916,2414
n3,25,0.825229,0.022766,2426
n3,26,0.824637,0.022751,2409
n3,27,0.824153,0.022698,2390
n3,28,0.823735,0.022681,2348
n3,29,0.823355,0.02279,2277
n3,30,0.82256,0.023077,2147
n3,31,0.82204,0.023319,2028
n3,32,0.821595,0.023569,1933
n3,33,0.820726,0.023715,1807
n3,34,0.820054,0.023398,1702
n3,35,0.819531,0.023432,1666
n3,36,0.819769,0.023681,1537
n3,37,0.819277,0.023825,1476
n3,38,0.819226,0.024289,1383
n3,39,0.819157,0.024431,1263
n3,40,0.819387,0.024592,1201
n3,41,0.819273,0.02479,1111
n3,42,0.82059,0.024852,1021
n3,43,0.822039,0.024208,960
n3,44,0.822489,0.024044,930
n3,45,0.822138,0.024018,930
n3,46,0.822293,0.024689,840
n3,47,0.822005,0.024606,840
n3,48,0.82182,0.024585,840
n3,49,0.820353,0.024186,810
n3,50,0.820118,0.024214,810
n3,51,0.819923,0.024121,810
n3,52,0.818944,0.024539,750
n3,53,0.81922,0.024647,720
n3,54,0.819507,0.025,690
n3,55,0.821159,0.02575,600
n3,56,0.820987,0.025801,540
n3,57,0.820775,0.025882,540
n3,58,0.820573,0.025886,540
n3,59,0.822138,0.025337,510
n3,60,0.822065,0.025304,510
n3,61,0.825001,0.024289,390
n3,62,0.828485,0.024217,330
n3,63,0.828282,0.02424,330
n3,64,0.828104,0.024091,330
n3,65,0.826186,0.024177,300
n3,66,0.82589,0.024201,300
n3,67,0.8225,0.025486,240
n3,68,0.828524,0.025622,180
n3,69,0.836087,0.019942,150
n3,70,0.835914,0.019905,150
n3,71,0.842963,0.01343,90
n3,72,0.842724,0.013435,90
n3,73,0.842405,0.013315,90
n3,74,0.842988,0.014891,60
n3,75,0.842836,0.01505,60
n3,76,0.842445,0.014813,60
n3,77,0.842382,0.014826,60
n3,78,0.842324,0.015019,60
n3,79,0.842189,0.014771,60
n3,80,0.841799,0.014669,60
n3,81,0.8417,0.014603,60
n3,82,0.841473,0.014832,60
n3,83,0.841144,0.014715,60
n3,84,0.841238,0.014861,60
n3,85,0.851695,0.011147,30
