algo,inst,run,t,v
ga,ft10,13,35.000,935.500
ga,ft10,13,40.000,935.500
ga,ft10,13,45.000,935.500
ga,ft10,13,50.000,935.500
ga,ft10,13,55.000,935.500
ga,ft10,13,60.000,935.500
ga,ft10,14,0.000,1158.000
ga,ft10,14,5.000,939.000
ga,ft10,14,10.000,939.000
ga,ft10,14,15.000,939.000
ga,ft10,14,20.000,939.000
ga,ft10,14,25.000,939.000
ga,ft10,14,30.000,939.000
ga,ft10,14,35.000,939.000
ga,ft10,14,40.000,939.000
ga,ft10,14,45.000,939.000
ga,ft10,14,50.000,939.000
ga,ft10,14,55.000,939.000
ga,ft10,14,60.000,939.000
ga,ft10,15,0.000,1142.500
ga,ft10,15,5.000,950.000
ga,ft10,15,10.000,950.000
ga,ft10,15,15.000,950.000
ga,ft10,15,20.000,950.000
ga,ft10,15,25.000,950.000
ga,ft10,15,30.000,950.000
ga,ft10,15,35.000,950.000
ga,ft10,15,40.000,950.000
ga,ft10,15,45.000,950.000
ga,ft10,15,50.000,950.000
ga,ft10,15,55.000,950.000
ga,ft10,15,60.000,950.000
ga,ft10,16,0.016,1160.500
ga,ft10,16,5.000,939.000
ga,ft10,16,10.000,939.000
ga,ft10,16,15.000,939.000
ga,ft10,16,20.000,939.000
ga,ft10,16,25.000,939.000
ga,ft10,16,30.000,939.000
ga,ft10,16,35.000,939.000
ga,ft10,16,40.000,939.000
ga,ft10,16,45.000,939.000
ga,ft10,16,50.000,939.000
ga,ft10,16,55.000,939.000
ga,ft10,16,60.000,939.000
ga,ft10,17,0.000,1107.000
ga,ft10,17,5.000,964.500
ga,ft10,17,10.000,964.500
ga,ft10,17,15.000,962.500
ga,ft10,17,20.000,962.500
ga,ft10,17,25.000,962.500
ga,ft10,17,30.000,962.500
ga,ft10,17,35.000,962.500
ga,ft10,17,40.000,962.500
ga,ft10,17,45.000,962.500
ga,ft10,17,50.000,962.500
ga,ft10,17,55.000,962.500
ga,ft10,17,60.000,962.500
ga,ft10,18,0.000,1122.500
ga,ft10,18,5.000,961.000
ga,ft10,18,10.000,961.000
ga,ft10,18,15.000,961.000
ga,ft10,18,20.000,961.000
ga,ft10,18,25.000,961.000
ga,ft10,18,30.000,961.000
ga,ft10,18,35.000,961.000
ga,ft10,18,40.000,961.000
ga,ft10,18,45.000,961.000
ga,ft10,18,50.000,961.000
ga,ft10,18,55.000,961.000
ga,ft10,18,60.000,961.000
ga,ft10,19,0.016,1144.000
ga,ft10,19,5.000,939.000
ga,ft10,19,10.000,939.000
ga,ft10,19,15.000,939.000
ga,ft10,19,20.000,939.000
ga,ft10,19,25.000,939.000
ga,ft10,19,30.000,939.000
ga,ft10,19,35.000,939.000
ga,ft10,19,40.000,939.000
ga,ft10,19,45.000,939.000
ga,ft10,19,50.000,939.000
ga,ft10,19,55.000,939.000
ga,ft10,19,60.000,939.000
ga,ft10,20,0.000,1150.000
ga,ft10,20,5.000,950.000
ga,ft10,20,10.000,950.000
ga,ft10,20,15.000,950.000
ga,ft10,20,20.000,950.000
ga,ft10,20,25.000,950.000
ga,ft10,20,30.000,950.000
