algo,inst,clase,arm,run,ecmax
ga,ft10,10x10,GT,16,960.5
ga,ft10,10x10,GT,17,960.5
ga,ft10,10x10,GT,18,960.5
ga,ft10,10x10,GT,19,946.0
ga,ft10,10x10,GT,20,960.5
ga,ft10,10x10,GT,21,960.5
ga,ft10,10x10,GT,22,960.5
ga,ft10,10x10,GT,23,960.5
ga,ft10,10x10,GT,24,946.0
ga,ft10,10x10,GT,25,946.0
ga,ft10,10x10,GT,26,963.0
ga,ft10,10x10,GT,27,960.5
ga,ft10,10x10,GT,28,960.5
ga,ft10,10x10,GT,29,946.0
ga,ft10,10x10,GT,30,960.5
ga,ft10,10x10,GP,1,946.0
ga,ft10,10x10,GP,2,946.0
ga,ft10,10x10,GP,3,946.0
ga,ft10,10x10,GP,4,946.0
ga,ft10,10x10,GP,5,946.0
ga,ft10,10x10,GP,6,946.0
ga,ft10,10x10,GP,7,967.0
ga,ft10,10x10,GP,8,966.0
ga,ft10,10x10,GP,9,946.0
ga,ft10,10x10,GP,10,946.0
ga,ft10,10x10,GP,11,946.0
ga,ft10,10x10,GP,12,946.0
ga,ft10,10x10,GP,13,946.0
ga,ft10,10x10,GP,14,946.0
ga,ft10,10x10,GP,15,946.0
ga,ft10,10x10,GP,16,946.0
ga,ft10,10x10,GP,17,946.0
ga,ft10,10x10,GP,18,946.0
ga,ft10,10x10,GP,19,946.0
ga,ft10,10x10,GP,20,946.0
ga,ft10,10x10,GP,21,946.0
ga,ft10,10x10,GP,22,946.0
ga,ft10,10x10,GP,23,946.0
ga,ft10,10x10,GP,24,957.5
ga,ft10,10x10,GP,25,946.0
ga,ft10,10x10,GP,26,959.5
ga,ft10,10x10,GP,27,946.0
ga,ft10,10x10,GP,28,967.0
ga,ft10,10x10,GP,29,946.0
ga,ft10,10x10,GP,30,957.0
ga,ft10,10x10,MIX,1,946.0
ga,ft10,10x10,MIX,2,942.5
ga,ft10,10x10,MIX,3,957.0
ga,ft10,10x10,MIX,4,957.0
ga,ft10,10x10,MIX,5,957.5
ga,ft10,10x10,MIX,6,946.0
ga,ft10,10x10,MIX,7,946.0
ga,ft10,10x10,MIX,8,946.0
ga,ft10,10x10,MIX,9,957.0
ga,ft10,10x10,MIX,10,946.0
ga,ft10,10x10,MIX,11,946.0
ga,ft10,10x10,MIX,12,946.0
ga,ft10,10x10,MIX,13,946.0
ga,ft10,10x10,MIX,14,946.0
ga,ft10,10x10,MIX,15,946.0
ga,ft10,10x10,MIX,16,946.0
ga,ft10,10x10,MIX,17,946.0
ga,ft10,10x10,MIX,18,946.0
ga,ft10,10x10,MIX,19,946.0
ga,ft10,10x10,MIX,20,952.0
ga,ft10,10x10,MIX,21,946.0
ga,ft10,10x10,MIX,22,957.0
ga,ft10,10x10,MIX,23,946.0
ga,ft10,10x10,MIX,24,946.0
ga,ft10,10x10,MIX,25,960.5
ga,ft10,10x10,MIX,26,967.0
ga,ft10,10x10,MIX,27,957.0
ga,ft10,10x10,MIX,28,946.0
ga,ft10,10x10,MIX,29,946.0
ga,ft10,10x10,MIX,30,946.0
ga,tai15_15_01,15x15,A0,1,1287.5
ga,tai15_15_01,15x15,A0,2,1284.0
ga,tai15_15_01,15x15,A0,3,1286.0
ga,tai15_15_01,15x15,A0,4,1311.5
ga,tai15_15_01,15x15,A0,5,1275.0
ga,tai15_15_01,15x15,A0,6,1285.0
ga,tai15_15_01,15x15,A0,7,1284.0
ga,tai15_15_01,15x15,A0,8,1296.5
ga,tai15_15_01,15x15,A0,9,1298.5
ga,tai15_15_01,15x15,A0,10,1285.0
ga,tai15_15_01,15x15,A0,11,1284.0
ga,tai15_15_01,15x15,A0,12,1300.0
ga,tai15_15_01,15x15,A0,13,1311.5
ga,tai15_15_01,15x15,A0,14,1311.5
ga,tai15_15_01,15x15,A0,15,1311.5
ga,tai15_15_01,15x15,A0,16,1285.5
ga,tai15_15_01,15x15,A0,17,1311.5
ga,tai15_15_01,15x15,A0,18,1286.0
ga,tai15_15_01,15x15,A0,19,1273.0
ga,tai15_15_01,15x15,A0,20,1311.5
ga,tai15_15_01,15x15,A0,21,1285.0
ga,tai15_15_01,15x15,A0,22,1287.5
ga,tai15_15_01,15x15,A0,23,1284.0
ga,tai15_15_01,15x15,A0,24,1284.0
ga,tai15_15_01,15x15,A0,25,1285.0
ga,tai15_15_01,15x15,A0,26,1286.0
ga,tai15_15_01,15x15,A0,27,1315.0
ga,tai15_15_01,15x15,A0,28,1296.5
ga,tai15_15_01,15x15,A0,29,1315.0
ga,tai15_15_01,15x15,A0,30,1286.0
ga,tai15_15_01,15x15,V2H,1,1281.5
ga,tai15_15_01,15x15,V2H,2,1285.0
ga,tai15_15_01,15x15,V2H,3,1292.5
ga,tai15_15_01,15x15,V2H,4,1294.5
ga,tai15_15_01,15x15,V2H,5,1281.0
ga,tai15_15_01,15x15,V2H,6,1286.0
ga,tai15_15_01,15x15,V2H,7,1280.5
ga,tai15_15_01,15x15,V2H,8,1284.0
ga,tai15_15_01,15x15,V2H,9,1281.0
ga,tai15_15_01,15x15,V2H,10,1279.5
ga,tai15_15_01,15x15,V2H,11,1269.0
ga,tai15_15_01,15x15,V2H,12,1278.0
ga,tai15_15_01,15x15,V2H,13,1285.5
ga,tai15_15_01,15x15,V2H,14,1283.5
ga,tai15_15_01,15x15,V2H,15,1282.0
ga,tai15_15_01,15x15,V2H,16,1285.0
ga,tai15_15_01,15x15,V2H,17,1273.5
ga,tai15_15_01,15x15,V2H,18,1276.5
ga,tai15_15_01,15x15,V2H,19,1276.5
ga,tai15_15_01,15x15,V2H,20,1270.0
ga,tai15_15_01,15x15,V2H,21,1294.0
ga,tai15_15_01,15x15,V2H,22,1272.5
