algo,inst,clase,arm,run,ecmax
tsn2,ft10,10x10,V2H,28,940.0
tsn2,ft10,10x10,V2H,29,940.0
tsn2,ft10,10x10,V2H,30,940.0
tsn2,ft10,10x10,V2,1,940.0
tsn2,ft10,10x10,V2,2,940.0
tsn2,ft10,10x10,V2,3,940.0
tsn2,ft10,10x10,V2,4,940.0
tsn2,ft10,10x10,V2,5,940.0
tsn2,ft10,10x10,V2,6,940.0
tsn2,ft10,10x10,V2,7,940.0
tsn2,ft10,10x10,V2,8,940.0
tsn2,ft10,10x10,V2,9,940.0
tsn2,ft10,10x10,V2,10,940.0
tsn2,ft10,10x10,V2,11,940.0
tsn2,ft10,10x10,V2,12,940.0
tsn2,ft10,10x10,V2,13,940.0
tsn2,ft10,10x10,V2,14,940.0
tsn2,ft10,10x10,V2,15,940.0
tsn2,ft10,10x10,V2,16,940.0
tsn2,ft10,10x10,V2,17,940.0
tsn2,ft10,10x10,V2,18,940.0
tsn2,ft10,10x10,V2,19,940.0
tsn2,ft10,10x10,V2,20,940.0
tsn2,ft10,10x10,V2,21,940.0
tsn2,ft10,10x10,V2,22,940.0
tsn2,ft10,10x10,V2,23,940.0
tsn2,ft10,10x10,V2,24,940.0
tsn2,ft10,10x10,V2,25,940.0
tsn2,ft10,10x10,V2,26,940.0
tsn2,ft10,10x10,V2,27,940.0
tsn2,ft10,10x10,V2,28,940.0
tsn2,ft10,10x10,V2,29,940.0
tsn2,ft10,10x10,V2,30,940.0
tsn2,ft10,10x10,MOR,1,940.0
tsn2,ft10,10x10,MOR,2,935.5
tsn2,ft10,10x10,MOR,3,940.0
tsn2,ft10,10x10,MOR,4,940.0
tsn2,ft10,10x10,MOR,5,940.0
tsn2,ft10,10x10,MOR,6,972.0
tsn2,ft10,10x10,MOR,7,935.5
tsn2,ft10,10x10,MOR,8,969.0
tsn2,ft10,10x10,MOR,9,969.0
tsn2,ft10,10x10,MOR,10,935.5
tsn2,ft10,10x10,MOR,11,940.0
tsn2,ft10,10x10,MOR,12,935.5
tsn2,ft10,10x10,MOR,13,940.0
tsn2,ft10,10x10,MOR,14,935.5
tsn2,ft10,10x10,MOR,15,956.0
tsn2,ft10,10x10,MOR,16,940.0
tsn2,ft10,10x10,MOR,17,946.0
tsn2,ft10,10x10,MOR,18,940.0
tsn2,ft10,10x10,MOR,19,940.0
tsn2,ft10,10x10,MOR,20,969.0
tsn2,ft10,10x10,MOR,21,940.0
tsn2,ft10,10x10,MOR,22,935.5
tsn2,ft10,10x10,MOR,23,955.0
tsn2,ft10,10x10,MOR,24,940.0
tsn2,ft10,10x10,MOR,25,940.0
tsn2,ft10,10x10,MOR,26,955.0
tsn2,ft10,10x10,MOR,27,949.0
tsn2,ft10,10x10,MOR,28,935.5
tsn2,ft10,10x10,MOR,29,972.0
tsn2,ft10,10x10,MOR,30,946.0
tsn2,ft10,10x10,GT,1,946.0
tsn2,ft10,10x10,GT,2,946.0
tsn2,ft10,10x10,GT,3,946.0
tsn2,ft10,10x10,GT,4,946.0
tsn2,ft10,10x10,GT,5,946.0
tsn2,ft10,10x10,GT,6,946.0
tsn2,ft10,10x10,GT,7,946.0
tsn2,ft10,10x10,GT,8,946.0
tsn2,ft10,10x10,GT,9,935.5
tsn2,ft10,10x10,GT,10,942.5
tsn2,ft10,10x10,GT,11,946.0
tsn2,ft10,10x10,GT,12,946.0
tsn2,ft10,10x10,GT,13,946.0
tsn2,ft10,10x10,GT,14,953.0
tsn2,ft10,10x10,GT,15,954.0
tsn2,ft10,10x10,GT,16,954.0
tsn2,ft10,10x10,GT,17,946.0
tsn2,ft10,10x10,GT,18,946.0
tsn2,ft10,10x10,GT,19,946.0
tsn2,ft10,10x10,GT,20,946.0
tsn2,ft10,10x10,GT,21,942.5
tsn2,ft10,10x10,GT,22,946.0
tsn2,ft10,10x10,GT,23,946.0
tsn2,ft10,10x10,GT,24,946.0
tsn2,ft10,10x10,GT,25,946.0
tsn2,ft10,10x10,GT,26,946.0
tsn2,ft10,10x10,GT,27,946.0
tsn2,ft10,10x10,GT,28,942.5
tsn2,ft10,10x10,GT,29,946.0
tsn2,ft10,10x10,GT,30,946.0
tsn2,ft10,10x10,GP,1,946.0
tsn2,ft10,10x10,GP,2,954.0
tsn2,ft10,10x10,GP,3,946.0
tsn2,ft10,10x10,GP,4,946.0
tsn2,ft10,10x10,GP,5,942.5
tsn2,ft10,10x10,GP,6,946.0
tsn2,ft10,10x10,GP,7,942.5
tsn2,ft10,10x10,GP,8,946.0
tsn2,ft10,10x10,GP,9,935.5
tsn2,ft10,10x10,GP,10,946.0
tsn2,ft10,10x10,GP,11,954.0
tsn2,ft10,10x10,GP,12,946.0
tsn2,ft10,10x10,GP,13,946.0
tsn2,ft10,10x10,GP,14,946.0
tsn2,ft10,10x10,GP,15,946.0
tsn2,ft10,10x10,GP,16,946.0
tsn2,ft10,10x10,GP,17,946.0
tsn2,ft10,10x10,GP,18,946.0
tsn2,ft10,10x10,GP,19,946.0
tsn2,ft10,10x10,GP,20,946.0
tsn2,ft10,10x10,GP,21,946.0
tsn2,ft10,10x10,GP,22,946.0
tsn2,ft10,10x10,GP,23,946.0
tsn2,ft10,10x10,GP,24,946.0
tsn2,ft10,10x10,GP,25,946.0
tsn2,ft10,10x10,GP,26,949.5
tsn2,ft10,10x10,GP,27,946.0
tsn2,ft10,10x10,GP,28,946.0
tsn2,ft10,10x10,GP,29,949.5
tsn2,ft10,10x10,GP,30,946.0
tsn2,ft10,10x10,MIX,1,940.0
tsn2,ft10,10x10,MIX,2,949.0
tsn2,ft10,10x10,MIX,3,946.0
tsn2,ft10,10x10,MIX,4,946.0
tsn2,ft10,10x10,MIX,5,946.0
tsn2,ft10,10x10,MIX,6,954.0
tsn2,ft10,10x10,MIX,7,946.0
tsn2,ft10,10x10,MIX,8,940.0
tsn2,ft10,10x10,MIX,9,940.0
tsn2,ft10,10x10,MIX,10,935.5
tsn2,ft10,10x10,MIX,11,940.0
tsn2,ft10,10x10,MIX,12,949.0
tsn2,ft10,10x10,MIX,13,940.0
tsn2,ft10,10x10,MIX,14,946.0
tsn2,ft10,10x10,MIX,15,946.0
tsn2,ft10,10x10,MIX,16,940.0
tsn2,ft10,10x10,MIX,17,946.0
tsn2,ft10,10x10,MIX,18,946.0
tsn2,ft10,10x10,MIX,19,949.5
tsn2,ft10,10x10,MIX,20,949.0
tsn2,ft10,10x10,MIX,21,940.0
tsn2,ft10,10x10,MIX,22,942.5
tsn2,ft10,10x10,MIX,23,940.0
tsn2,ft10,10x10,MIX,24,949.0
tsn2,ft10,10x10,MIX,25,949.0
tsn2,ft10,10x10,MIX,26,935.5
tsn2,ft10,10x10,MIX,27,949.5
tsn2,ft10,10x10,MIX,28,940.0
tsn2,ft10,10x10,MIX,29,949.0
tsn2,ft10,10x10,MIX,30,946.0
tsn2,ft10,10x10,MIXH,1,940.0
tsn2,ft10,10x10,MIXH,2,935.5
tsn2,ft10,10x10,MIXH,3,946.0
tsn2,ft10,10x10,MIXH,4,935.5
tsn2,ft10,10x10,MIXH,5,935.5
tsn2,ft10,10x10,MIXH,6,935.5
tsn2,ft10,10x10,MIXH,7,949.0
tsn2,ft10,10x10,MIXH,8,946.0
tsn2,ft10,10x10,MIXH,9,940.0
tsn2,ft10,10x10,MIXH,10,935.5
tsn2,ft10,10x10,MIXH,11,935.5
tsn2,ft10,10x10,MIXH,12,946.0
tsn2,ft10,10x10,MIXH,13,946.0
tsn2,ft10,10x10,MIXH,14,935.5
tsn2,ft10,10x10,MIXH,15,946.0
tsn2,ft10,10x10,MIXH,16,946.0
tsn2,ft10,10x10,MIXH,17,940.0
tsn2,ft10,10x10,MIXH,18,949.0
tsn2,ft10,10x10,MIXH,19,935.5
tsn2,ft10,10x10,MIXH,20,946.0
tsn2,ft10,10x10,MIXH,21,935.5
tsn2,ft10,10x10,MIXH,22,935.5
tsn2,ft10,10x10,MIXH,23,946.0
tsn2,ft10,10x10,MIXH,24,949.0
tsn2,ft10,10x10,MIXH,25,946.0
tsn2,ft10,10x10,MIXH,26,949.0
tsn2,ft10,10x10,MIXH,27,946.0
tsn2,ft10,10x10,MIXH,28,940.0
tsn2,ft10,10x10,MIXH,29,946.0
tsn2,ft10,10x10,MIXH,30,940.0
tsn2,tai15_15_01,15x15,A0,1,1253.5
tsn2,tai15_15_01,15x15,A0,2,1253.5
tsn2,tai15_15_01,15x15,A0,3,1247.0
tsn2,tai15_15_01,15x15,A0,4,1253.5
tsn2,tai15_15_01,15x15,A0,5,1253.5
tsn2,tai15_15_01,15x15,A0,6,1253.5
tsn2,tai15_15_01,15x15,A0,7,1248.0
tsn2,tai15_15_01,15x15,A0,8,1253.5
tsn2,tai15_15_01,15x15,A0,9,1253.5
tsn2,tai15_15_01,15x15,A0,10,1263.5
tsn2,tai15_15_01,15x15,A0,11,1250.5
tsn2,tai15_15_01,15x15,A0,12,1253.5
tsn2,tai15_15_01,15x15,A0,13,1248.0
tsn2,tai15_15_01,15x15,A0,14,1262.5
tsn2,tai15_15_01,15x15,A0,15,1253.5
tsn2,tai15_15_01,15x15,A0,16,1246.5
tsn2,tai15_15_01,15x15,A0,17,1247.0
tsn2,tai15_15_01,15x15,A0,18,1258.5
tsn2,tai15_15_01,15x15,A0,19,1253.5
tsn2,tai15_15_01,15x15,A0,20,1246.5
tsn2,tai15_15_01,15x15,A0,21,1253.5
tsn2,tai15_15_01,15x15,A0,22,1248.0
tsn2,tai15_15_01,15x15,A0,23,1262.5
tsn2,tai15_15_01,15x15,A0,24,1253.5
tsn2,tai15_15_01,15x15,A0,25,1248.0
tsn2,tai15_15_01,15x15,A0,26,1253.5
tsn2,tai15_15_01,15x15,A0,27,1250.5
tsn2,tai15_15_01,15x15,A0,28,1263.0
tsn2,tai15_15_01,15x15,A0,29,1262.5
tsn2,tai15_15_01,15x15,A0,30,1251.5
tsn2,tai15_15_01,15x15,V2H,1,1253.5
tsn2,tai15_15_01,15x15,V2H,2,1256.0
tsn2,tai15_15_01,15x15,V2H,3,1248.0
tsn2,tai15_15_01,15x15,V2H,4,1250.5
tsn2,tai15_15_01,15x15,V2H,5,1250.0
tsn2,tai15_15_01,15x15,V2H,6,1247.0
tsn2,tai15_15_01,15x15,V2H,7,1253.5
tsn2,tai15_15_01,15x15,V2H,8,1253.5
tsn2,tai15_15_01,15x15,V2H,9,1248.0
tsn2,tai15_15_01,15x15,V2H,10,1253.5
tsn2,tai15_15_01,15x15,V2H,11,1253.5
tsn2,tai15_15_01,15x15,V2H,12,1265.5
tsn2,tai15_15_01,15x15,V2H,13,1253.5
tsn2,tai15_15_01,15x15,V2H,14,1250.5
tsn2,tai15_15_01,15x15,V2H,15,1262.5
tsn2,tai15_15_01,15x15,V2H,16,1253.5
tsn2,tai15_15_01,15x15,V2H,17,1253.5
tsn2,tai15_15_01,15x15,V2H,18,1253.5
tsn2,tai15_15_01,15x15,V2H,19,1258.5
tsn2,tai15_15_01,15x15,V2H,20,1253.5
tsn2,tai15_15_01,15x15,V2H,21,1262.5
tsn2,tai15_15_01,15x15,V2H,22,1250.5
tsn2,tai15_15_01,15x15,V2H,23,1253.5
tsn2,tai15_15_01,15x15,V2H,24,1266.0
tsn2,tai15_15_01,15x15,V2H,25,1253.5
tsn2,tai15_15_01,15x15,V2H,26,1248.0
tsn2,tai15_15_01,15x15,V2H,27,1253.5
tsn2,tai15_15_01,15x15,V2H,28,1258.5
tsn2,tai15_15_01,15x15,V2H,29,1253.5
tsn2,tai15_15_01,15x15,V2H,30,1253.5
tsn2,tai15_15_01,15x15,V2,1,1250.5
tsn2,tai15_15_01,15x15,V2,2,1253.5
tsn2,tai15_15_01,15x15,V2,3,1248.0
tsn2,tai15_15_01,15x15,V2,4,1262.5
tsn2,tai15_15_01,15x15,V2,5,1262.5
tsn2,tai15_15_01,15x15,V2,6,1253.5
tsn2,tai15_15_01,15x15,V2,7,1253.5
tsn2,tai15_15_01,15x15,V2,8,1262.5
tsn2,tai15_15_01,15x15,V2,9,1260.0
tsn2,tai15_15_01,15x15,V2,10,1248.0
tsn2,tai15_15_01,15x15,V2,11,1248.0
tsn2,tai15_15_01,15x15,V2,12,1253.5
tsn2,tai15_15_01,15x15,V2,13,1251.5
tsn2,tai15_15_01,15x15,V2,14,1257.5
tsn2,tai15_15_01,15x15,V2,15,1262.5
tsn2,tai15_15_01,15x15,V2,16,1266.0
tsn2,tai15_15_01,15x15,V2,17,1262.5
tsn2,tai15_15_01,15x15,V2,18,1267.0
tsn2,tai15_15_01,15x15,V2,19,1262.5
tsn2,tai15_15_01,15x15,V2,20,1265.0
tsn2,tai15_15_01,15x15,V2,21,1251.5
