algo,inst,run,t,v
feabcls,ft10,12,25.062,935.500
feabcls,ft10,12,30.062,935.500
feabcls,ft10,12,35.031,935.500
feabcls,ft10,12,40.047,935.500
feabcls,ft10,12,45.062,935.500
feabcls,ft10,12,50.062,935.500
feabcls,ft10,12,55.047,935.500
feabcls,ft10,12,60.000,935.500
feabcls,ft10,13,0.000,1136.500
feabcls,ft10,13,5.062,940.000
feabcls,ft10,13,10.031,940.000
feabcls,ft10,13,15.000,940.000
feabcls,ft10,13,20.062,940.000
feabcls,ft10,13,25.078,940.000
feabcls,ft10,13,30.000,940.000
feabcls,ft10,13,35.016,940.000
feabcls,ft10,13,40.078,940.000
feabcls,ft10,13,45.016,940.000
feabcls,ft10,13,50.000,940.000
feabcls,ft10,13,55.031,940.000
feabcls,ft10,14,0.000,1158.000
feabcls,ft10,14,5.031,935.500
feabcls,ft10,14,10.062,935.500
feabcls,ft10,14,15.047,935.500
feabcls,ft10,14,20.016,935.500
feabcls,ft10,14,25.031,935.500
feabcls,ft10,14,30.031,935.500
feabcls,ft10,14,35.078,935.500
feabcls,ft10,14,40.016,935.500
feabcls,ft10,14,45.078,935.500
feabcls,ft10,14,50.047,935.500
feabcls,ft10,14,55.047,935.500
feabcls,ft10,14,60.000,935.500
feabcls,ft10,15,0.000,1142.500
feabcls,ft10,15,5.016,940.000
feabcls,ft10,15,10.047,940.000
feabcls,ft10,15,15.047,940.000
feabcls,ft10,15,20.000,940.000
feabcls,ft10,15,25.047,940.000
feabcls,ft10,15,30.000,940.000
feabcls,ft10,15,35.062,940.000
feabcls,ft10,15,40.062,940.000
feabcls,ft10,15,45.016,940.000
feabcls,ft10,15,50.031,940.000
feabcls,ft10,15,55.000,940.000
feabcls,ft10,15,60.031,940.000
feabcls,ft10,16,0.000,1160.500
feabcls,ft10,16,5.062,939.000
feabcls,ft10,16,10.047,939.000
feabcls,ft10,16,15.078,939.000
feabcls,ft10,16,20.047,939.000
feabcls,ft10,16,25.031,935.500
feabcls,ft10,16,30.062,935.500
feabcls,ft10,16,35.062,935.500
feabcls,ft10,16,40.047,935.500
feabcls,ft10,16,45.047,935.500
feabcls,ft10,16,50.016,935.500
feabcls,ft10,16,55.016,935.500
feabcls,ft10,17,0.000,1107.000
feabcls,ft10,17,5.031,940.000
feabcls,ft10,17,10.062,940.000
feabcls,ft10,17,15.078,940.000
feabcls,ft10,17,20.031,940.000
feabcls,ft10,17,25.094,940.000
feabcls,ft10,17,30.078,940.000
feabcls,ft10,17,35.000,940.000
feabcls,ft10,17,40.062,940.000
feabcls,ft10,17,45.000,940.000
feabcls,ft10,17,50.078,940.000
feabcls,ft10,17,55.047,940.000
feabcls,ft10,17,60.000,940.000
feabcls,ft10,18,0.000,1122.500
feabcls,ft10,18,5.016,940.000
feabcls,ft10,18,10.094,940.000
feabcls,ft10,18,15.062,940.000
feabcls,ft10,18,20.062,940.000
feabcls,ft10,18,25.016,940.000
feabcls,ft10,18,30.078,940.000
feabcls,ft10,18,35.062,940.000
feabcls,ft10,18,40.000,940.000
feabcls,ft10,18,45.078,940.000
feabcls,ft10,18,50.094,940.000
feabcls,ft10,18,55.062,940.000
feabcls,ft10,18,60.016,940.000
feabcls,ft10,19,0.016,1144.000
feabcls,ft10,19,5.062,935.500
feabcls,ft10,19,10.062,935.500
feabcls,ft10,19,15.047,935.500
feabcls,ft10,19,20.047,935.500
feabcls,ft10,19,25.047,935.500
feabcls,ft10,19,30.000,935.500
feabcls,ft10,19,35.047,935.500
feabcls,ft10,19,40.000,935.500
feabcls,ft10,19,45.031,935.500
feabcls,ft10,19,50.000,935.500
feabcls,ft10,19,55.062,935.500
feabcls,ft10,19,60.031,935.500
feabcls,ft10,20,0.000,1150.000
feabcls,ft10,20,5.016,935.500
feabcls,ft10,20,10.031,935.500
feabcls,ft10,20,15.031,935.500
feabcls,ft10,20,20.000,935.500
feabcls,ft10,20,25.047,935.500
feabcls,ft10,20,30.047,935.500
feabcls,ft10,20,35.062,935.500
feabcls,ft10,20,40.062,935.500
feabcls,ft10,20,45.047,935.500
feabcls,ft10,20,50.031,935.500
feabcls,ft10,20,55.000,935.500
feabcls,ft10,21,0.016,1149.500
feabcls,ft10,21,5.062,946.500
feabcls,ft10,21,10.031,946.500
feabcls,ft10,21,15.000,946.500
feabcls,ft10,21,20.000,946.500
feabcls,ft10,21,25.062,946.500
feabcls,ft10,21,30.016,946.500
feabcls,ft10,21,35.047,946.500
feabcls,ft10,21,40.000,946.500
feabcls,ft10,21,45.047,946.500
feabcls,ft10,21,50.000,946.500
feabcls,ft10,21,55.016,946.500
feabcls,ft10,21,60.016,946.500
feabcls,ft10,22,0.016,1157.000
feabcls,ft10,22,5.047,940.000
feabcls,ft10,22,10.031,940.000
feabcls,ft10,22,15.031,940.000
feabcls,ft10,22,20.000,940.000
feabcls,ft10,22,25.000,940.000
feabcls,ft10,22,30.078,940.000
feabcls,ft10,22,35.016,940.000
feabcls,ft10,22,40.062,940.000
feabcls,ft10,22,45.016,940.000
feabcls,ft10,22,50.000,940.000
feabcls,ft10,22,55.078,940.000
feabcls,ft10,22,60.047,940.000
feabcls,ft10,23,0.016,1129.000
feabcls,ft10,23,5.078,935.500
feabcls,ft10,23,10.062,935.500
feabcls,ft10,23,15.016,935.500
feabcls,ft10,23,20.031,935.500
feabcls,ft10,23,25.062,935.500
feabcls,ft10,23,30.047,935.500
feabcls,ft10,23,35.016,935.500
feabcls,ft10,23,40.016,935.500
feabcls,ft10,23,45.031,935.500
feabcls,ft10,23,50.016,935.500
feabcls,ft10,23,55.062,935.500
feabcls,ft10,23,60.000,935.500
feabcls,ft10,24,0.000,1154.500
feabcls,ft10,24,5.016,935.500
feabcls,ft10,24,10.000,935.500
feabcls,ft10,24,15.016,935.500
feabcls,ft10,24,20.031,935.500
feabcls,ft10,24,25.000,935.500
feabcls,ft10,24,30.000,935.500
feabcls,ft10,24,35.047,935.500
feabcls,ft10,24,40.031,935.500
feabcls,ft10,24,45.062,935.500
feabcls,ft10,24,50.016,935.500
feabcls,ft10,24,55.016,935.500
feabcls,ft10,24,60.031,935.500
feabcls,ft10,25,0.000,1120.500
feabcls,ft10,25,5.031,935.500
feabcls,ft10,25,10.016,935.500
feabcls,ft10,25,15.047,935.500
feabcls,ft10,25,20.031,935.500
feabcls,ft10,25,25.047,935.500
feabcls,ft10,25,30.047,935.500
feabcls,ft10,25,35.000,935.500
feabcls,ft10,25,40.047,935.500
feabcls,ft10,25,45.062,935.500
feabcls,ft10,25,50.016,935.500
feabcls,ft10,25,55.078,935.500
feabcls,ft10,25,60.000,935.500
feabcls,ft10,26,0.016,1156.500
feabcls,ft10,26,5.062,935.500
feabcls,ft10,26,10.031,935.500
feabcls,ft10,26,15.031,935.500
feabcls,ft10,26,20.016,935.500
feabcls,ft10,26,25.016,935.500
feabcls,ft10,26,30.062,935.500
feabcls,ft10,26,35.000,935.500
feabcls,ft10,26,40.047,935.500
feabcls,ft10,26,45.000,935.500
feabcls,ft10,26,50.031,935.500
feabcls,ft10,26,55.016,935.500
feabcls,ft10,27,0.016,1145.500
feabcls,ft10,27,5.078,969.000
feabcls,ft10,27,10.000,969.000
