algo,inst,clase,arm,run,ecmax
abce3,ft10,10x10,GT,10,940.0
abce3,ft10,10x10,GT,11,935.5
abce3,ft10,10x10,GT,12,950.0
abce3,ft10,10x10,GT,13,946.0
abce3,ft10,10x10,GT,14,956.5
abce3,ft10,10x10,GT,15,952.0
abce3,ft10,10x10,GT,16,939.0
abce3,ft10,10x10,GT,17,965.0
abce3,ft10,10x10,GT,18,946.0
abce3,ft10,10x10,GT,19,946.0
abce3,ft10,10x10,GT,20,946.0
abce3,ft10,10x10,GT,21,946.0
abce3,ft10,10x10,GT,22,946.0
abce3,ft10,10x10,GT,23,954.0
abce3,ft10,10x10,GT,24,942.0
abce3,ft10,10x10,GT,25,939.0
abce3,ft10,10x10,GT,26,946.0
abce3,ft10,10x10,GT,27,955.0
abce3,ft10,10x10,GT,28,960.5
abce3,ft10,10x10,GT,29,946.0
abce3,ft10,10x10,GT,30,955.0
abce3,ft10,10x10,GP,1,967.0
abce3,ft10,10x10,GP,2,967.0
abce3,ft10,10x10,GP,3,942.5
abce3,ft10,10x10,GP,4,952.0
abce3,ft10,10x10,GP,5,958.0
abce3,ft10,10x10,GP,6,935.5
abce3,ft10,10x10,GP,7,968.0
abce3,ft10,10x10,GP,8,967.0
abce3,ft10,10x10,GP,9,949.0
abce3,ft10,10x10,GP,10,949.0
abce3,ft10,10x10,GP,11,958.5
abce3,ft10,10x10,GP,12,959.5
abce3,ft10,10x10,GP,13,935.5
abce3,ft10,10x10,GP,14,949.0
abce3,ft10,10x10,GP,15,951.5
abce3,ft10,10x10,GP,16,959.5
abce3,ft10,10x10,GP,17,966.0
abce3,ft10,10x10,GP,18,943.0
abce3,ft10,10x10,GP,19,953.5
abce3,ft10,10x10,GP,20,952.0
abce3,ft10,10x10,GP,21,962.0
abce3,ft10,10x10,GP,22,949.0
abce3,ft10,10x10,GP,23,966.0
abce3,ft10,10x10,GP,24,939.0
abce3,ft10,10x10,GP,25,966.0
abce3,ft10,10x10,GP,26,944.5
abce3,ft10,10x10,GP,27,960.5
abce3,ft10,10x10,GP,28,946.0
abce3,ft10,10x10,GP,29,935.5
abce3,ft10,10x10,GP,30,946.0
abce3,ft10,10x10,MIX,1,939.0
abce3,ft10,10x10,MIX,2,935.5
abce3,ft10,10x10,MIX,3,949.0
abce3,ft10,10x10,MIX,4,939.0
abce3,ft10,10x10,MIX,5,944.5
abce3,ft10,10x10,MIX,6,945.0
abce3,ft10,10x10,MIX,7,946.0
abce3,ft10,10x10,MIX,8,939.0
abce3,ft10,10x10,MIX,9,939.0
abce3,ft10,10x10,MIX,10,949.5
abce3,ft10,10x10,MIX,11,940.5
abce3,ft10,10x10,MIX,12,939.0
abce3,ft10,10x10,MIX,13,966.0
abce3,ft10,10x10,MIX,14,957.0
abce3,ft10,10x10,MIX,15,953.5
abce3,ft10,10x10,MIX,16,953.0
abce3,ft10,10x10,MIX,17,949.0
abce3,ft10,10x10,MIX,18,950.0
abce3,ft10,10x10,MIX,19,949.0
abce3,ft10,10x10,MIX,20,960.5
abce3,ft10,10x10,MIX,21,944.5
abce3,ft10,10x10,MIX,22,946.5
abce3,ft10,10x10,MIX,23,956.5
abce3,ft10,10x10,MIX,24,950.5
abce3,ft10,10x10,MIX,25,964.0
abce3,ft10,10x10,MIX,26,952.5
abce3,ft10,10x10,MIX,27,967.0
abce3,ft10,10x10,MIX,28,953.0
abce3,ft10,10x10,MIX,29,944.5
abce3,ft10,10x10,MIX,30,952.5
abce3,tai15_15_01,15x15,A0,1,1304.0
abce3,tai15_15_01,15x15,A0,2,1306.0
abce3,tai15_15_01,15x15,A0,3,1304.0
abce3,tai15_15_01,15x15,A0,4,1322.0
abce3,tai15_15_01,15x15,A0,5,1306.5
abce3,tai15_15_01,15x15,A0,6,1304.5
abce3,tai15_15_01,15x15,A0,7,1293.0
abce3,tai15_15_01,15x15,A0,8,1335.0
abce3,tai15_15_01,15x15,A0,9,1294.5
abce3,tai15_15_01,15x15,A0,10,1294.5
abce3,tai15_15_01,15x15,A0,11,1306.0
abce3,tai15_15_01,15x15,A0,12,1290.5
abce3,tai15_15_01,15x15,A0,13,1300.0
abce3,tai15_15_01,15x15,A0,14,1285.5
abce3,tai15_15_01,15x15,A0,15,1293.5
abce3,tai15_15_01,15x15,A0,16,1320.5
abce3,tai15_15_01,15x15,A0,17,1289.5
abce3,tai15_15_01,15x15,A0,18,1302.5
abce3,tai15_15_01,15x15,A0,19,1298.5
abce3,tai15_15_01,15x15,A0,20,1308.5
abce3,tai15_15_01,15x15,A0,21,1310.0
abce3,tai15_15_01,15x15,A0,22,1287.5
abce3,tai15_15_01,15x15,A0,23,1304.0
abce3,tai15_15_01,15x15,A0,24,1315.0
abce3,tai15_15_01,15x15,A0,25,1292.0
abce3,tai15_15_01,15x15,A0,26,1300.0
abce3,tai15_15_01,15x15,A0,27,1314.5
abce3,tai15_15_01,15x15,A0,28,1327.0
abce3,tai15_15_01,15x15,A0,29,1296.0
abce3,tai15_15_01,15x15,A0,30,1304.5
abce3,tai15_15_01,15x15,V2H,1,1318.0
abce3,tai15_15_01,15x15,V2H,2,1294.0
abce3,tai15_15_01,15x15,V2H,3,1304.5
