"arm","W","T","L","dmean","A12"
"V2H",7,43,11,0.113661202185795,0.498506375227687
"V2",7,44,10,0.173497267759563,0.494626593806922
"MOR",0,5,56,28.7505464480874,0.88516393442623
"GT",3,12,46,15.6926229508197,0.768342440801457
"GP",7,27,27,6.84972677595628,0.63959927140255
"MIX",12,38,11,-0.392896174863379,0.499398907103825
"MIXH",16,34,11,-2.64617486338797,0.454134790528233
