"arm","W","T","L","dmean","A12"
"V2H",32,29,0,-21.5661202185792,0.298360655737705
"V2",35,26,0,-24.3655737704918,0.274444444444444
"MOR",1,54,6,3.92322404371586,0.543642987249545
"GT",14,46,1,-6.11803278688525,0.436001821493625
"GP",30,31,0,-17.2874316939891,0.324790528233151
"MIX",35,26,0,-24.2431693989071,0.265555555555556
"MIXH",42,19,0,-22.755737704918,0.276275045537341
