"algo","frac_v2","frac_mix","inter","lo","hi","p"
"ga",-0.387403207658208,-0.331386873689866,0.0560163339683419,-0.0546212550679551,0.169886745006091,0.481487568170398
"abce3",0.11609139635145,0.0665906644910664,-0.0495007318603841,-0.148931820075285,0.0499975737264114,0.278099242245896
"feabcls",-0.00537951369180278,-0.0893475334955754,-0.0839680198037726,-0.145062776454833,-0.0245545113151923,0.00795773347865071
"tsn2",0.0240462245886767,-0.0499653959639444,-0.0740116205526212,-0.14062244122268,-0.0104891136062567,0.0461250429774327
