"arm","W","T","L","dmean","A12"
"V2H",11,31,19,4.06311475409837,0.545355191256831
"V2",9,25,27,12.1959016393443,0.614471766848816
"MOR",1,3,57,43.8177595628415,0.920437158469945
"GT",4,16,41,19.8950819672131,0.738989071038251
"GP",9,21,31,11.4562841530055,0.648351548269581
"MIX",13,29,19,2.53333333333334,0.52683970856102
"MIXH",20,30,11,-5.09398907103823,0.420646630236794
