"arm","W","T","L","dmean","A12"
"V2H",5,48,8,0.558196721311471,0.517950819672131
"V2",6,47,8,-0.0248633879781288,0.510063752276867
"MOR",9,13,39,9.68005464480873,0.691102003642987
"GT",9,20,32,5.1587431693989,0.643306010928962
"GP",10,32,19,-1.27213114754099,0.538998178506375
"MIX",15,41,5,-5.48551912568306,0.435956284153005
"MIXH",18,36,7,-6.87021857923498,0.426857923497268
