"algo","inst","q_a0","q_arm","q_pool","gap","delta","ayuda"
"abce3","ft10",951.25,952.95,1079.86,13.5201051248357,0.17871222076216,FALSE
"abce3","tai15_15_01",1304.93333333333,1301.66666666667,1474.29,12.9781853479105,-0.25033207315827,TRUE
"abce3","tai15_15_02",1291.58333333333,1292.3,1436.59,11.227046906252,0.05548745080328,FALSE
"abce3","tai15_15_03",1286.18333333333,1285.93333333333,1442.86,12.1815189643778,-0.0194373534099597,TRUE
"abce3","tai15_15_04",1245.43333333333,1244.5,1409.47,13.1710515750877,-0.0749404491074106,TRUE
"abce3","tai15_15_05",1280.25,1274.46666666667,1410.69,10.1886350322203,-0.451734687235564,TRUE
"abce3","tai15_15_06",1299.85,1291.81666666667,1414.11,8.79024502827249,-0.618020027951941,TRUE
"abce3","tai15_15_07",1275.7,1274.61666666667,1405.26,10.1559927882731,-0.0849206971336117,TRUE
"abce3","tai15_15_08",1281.86666666667,1280.58333333333,1425.95,11.2401185770751,-0.10011441647597,TRUE
"abce3","tai15_15_09",1365.03333333333,1346.71666666667,1523.02,11.5738321408513,-1.34184757392981,TRUE
"abce3","tai15_15_10",1312.93333333333,1307.45,1461.07,11.2828780339189,-0.417639890321927,TRUE
"abce3","tai20_20_01",1799.2,1784.81666666667,1941.24,7.89461983103601,-0.799429376018977,TRUE
"abce3","tai20_20_02",1741.83333333333,1728.31666666667,1902.28,9.21136733326955,-0.776002296430963,TRUE
"abce3","tai20_20_03",1708.46666666667,1674.78333333333,1829.12,7.06208295937877,-1.97155343973154,TRUE
"abce3","tai20_20_04",1787.1,1775.6,1903.05,6.48816518381736,-0.643500643500644,TRUE
"abce3","tai20_20_05",1747.96666666667,1733.11666666667,1886.75,7.93970136730296,-0.849558534678396,TRUE
"abce3","tai20_20_06",1807.4,1768.5,1912.15,5.79561801482793,-2.15226291911033,TRUE
"abce3","tai20_20_07",1839.06666666667,1823.75,1997.43,8.61107083303125,-0.83284999637497,TRUE
"abce3","tai20_20_08",1750.91666666667,1722.81666666667,1885.54,7.6887344724192,-1.6048736376184,TRUE
"abce3","tai20_20_09",1768.75,1729.13333333333,1906.4,7.78233215547704,-2.23981154299175,TRUE
"abce3","tai20_20_10",1729.53333333333,1731.75,1902.97,10.0279458813553,0.128165593801798,FALSE
"abce3","tai30_15_01",1948.38333333333,1942.33333333333,2169.98,11.3733608205093,-0.31051384481152,TRUE
"abce3","tai30_15_02",2041.68333333333,2029.31666666667,2226.59,9.05657912996629,-0.605709341148241,TRUE
"abce3","tai30_15_03",2041.26666666667,2020.21666666667,2265.74,10.9967667134786,-1.03122244358078,TRUE
"abce3","tai30_15_04",2033.28333333333,2032.31666666667,2217.98,9.08366599178668,-0.047542152675887,TRUE
"abce3","tai30_15_05",2087.15,2066.06666666667,2209.19,5.84720791509954,-1.01014940628769,TRUE
"abce3","tai30_15_06",2027.58333333333,1992.08333333333,2229.24,9.9456660227693,-1.75085282150343,TRUE
"abce3","tai30_15_07",1992.91666666667,1982.46666666667,2224.25,11.6077775454735,-0.524357098055616,TRUE
"abce3","tai30_15_08",1890.98333333333,1876,2040.23,7.8925426806159,-0.792356710353521,TRUE
"abce3","tai30_15_09",1974.88333333333,1964.1,2117.35,7.21392824892609,-0.546023815752839,TRUE
