"clase","n_inst","rpd_A0","rpd_V2H","rpd_V2","rpd_MOR","rpd_GT","rpd_GP","rpd_MIX","d_V2H","d_V2","d_MOR","d_GT","d_GP","d_MIX"
"10x10",1,2.28,2.17,2.47,2.53,2.09,2.5,2.73,-0.11,0.19,0.25,-0.19,0.22,0.45
"15x15",10,5.33,5.08,4.98,5.47,5.12,4.81,4.89,-0.25,-0.35,0.14,-0.21,-0.52,-0.44
"20x20",10,10.18,8.99,8.89,10.29,9.98,9.26,8.92,-1.19,-1.29,0.11,-0.2,-0.92,-1.26
"30x15",10,11.66,11.01,10.91,12.14,11.48,11.1,10.76,-0.65,-0.75,0.48,-0.18,-0.56,-0.9
"30x20",10,17.84,16.28,16.25,18.15,17.15,16.49,16.04,-1.56,-1.59,0.31,-0.69,-1.35,-1.8
"50x15",10,7.65,6.33,6.16,7.88,7.57,7.31,6.61,-1.32,-1.49,0.23,-0.08,-0.34,-1.04
"50x20",10,11.32,10.18,9.92,11.27,10.81,9.87,9.78,-1.14,-1.4,-0.05,-0.51,-1.45,-1.54
