"clase","n_inst","rpd_A0","rpd_V2H","rpd_V2","rpd_MOR","rpd_GT","rpd_GP","rpd_MIX","d_V2H","d_V2","d_MOR","d_GT","d_GP","d_MIX"
"10x10",1,1.57,1.57,1.71,6.76,2.7,2.07,1.99,0,0.14,5.19,1.13,0.5,0.42
"15x15",10,4.33,4.03,4.18,6.21,5.12,4.21,3.56,-0.3,-0.15,1.88,0.79,-0.12,-0.77
"20x20",10,7.54,7.2,7.43,9.33,7.88,7.26,7.24,-0.34,-0.11,1.79,0.34,-0.28,-0.3
"30x15",10,7.62,8.03,8.39,10.04,8.73,8.32,7.97,0.41,0.77,2.42,1.11,0.7,0.35
"30x20",10,13.27,13.89,14.89,15.34,14.34,14.12,13.77,0.62,1.62,2.07,1.07,0.85,0.5
"50x15",10,4.02,4.12,4.26,6.79,5.42,4.81,4.16,0.1,0.24,2.77,1.4,0.79,0.14
"50x20",10,8.95,9.43,9.92,10.71,9.93,9.81,9.31,0.48,0.97,1.76,0.98,0.86,0.36
