"inst","clase","arm","frac","rpd"
"tai30_15_03","30x15","A0",1,-0.339522546419103
"tai30_15_03","30x15","V2H",1,-0.822281167108753
"tai30_15_03","30x15","V2",1,-0.992042440318305
"tai30_15_03","30x15","MOR",1,1.76127320954907
"tai30_15_03","30x15","GT",1,1.95755968169762
"tai30_15_03","30x15","GP",1,1.0026525198939
"tai30_15_03","30x15","MIX",1,-0.159151193633952
"tai30_15_04","30x15","A0",0.05,5.83006535947712
"tai30_15_04","30x15","V2H",0.05,6.48888888888888
"tai30_15_04","30x15","V2",0.05,6.61960784313725
"tai30_15_04","30x15","MOR",0.05,6.75032679738562
"tai30_15_04","30x15","GT",0.05,4.48627450980392
"tai30_15_04","30x15","GP",0.05,4.73725490196078
"tai30_15_04","30x15","MIX",0.05,5.02483660130719
"tai30_15_04","30x15","A0",0.1,2.90718954248366
"tai30_15_04","30x15","V2H",0.1,3.00130718954249
"tai30_15_04","30x15","V2",0.1,4.08366013071895
"tai30_15_04","30x15","MOR",0.1,3.45098039215686
"tai30_15_04","30x15","GT",0.1,2.86013071895425
"tai30_15_04","30x15","GP",0.1,2.93856209150327
"tai30_15_04","30x15","MIX",0.1,3.1843137254902
"tai30_15_04","30x15","A0",0.25,0.789542483660126
"tai30_15_04","30x15","V2H",0.25,0.0784313725490196
"tai30_15_04","30x15","V2",0.25,1.17124183006536
"tai30_15_04","30x15","MOR",0.25,2.27450980392157
"tai30_15_04","30x15","GT",0.25,0.899346405228761
"tai30_15_04","30x15","GP",0.25,-0.156862745098039
"tai30_15_04","30x15","MIX",0.25,0.334640522875822
"tai30_15_04","30x15","A0",0.5,-0.183006535947712
"tai30_15_04","30x15","V2H",0.5,-0.559477124183009
"tai30_15_04","30x15","V2",0.5,0.230065359477129
"tai30_15_04","30x15","MOR",0.5,2.41045751633986
"tai30_15_04","30x15","GT",0.5,0.0470588235294165
"tai30_15_04","30x15","GP",0.5,-0.418300653594771
"tai30_15_04","30x15","MIX",0.5,-0.376470588235296
"tai30_15_04","30x15","A0",1,0.345098039215681
"tai30_15_04","30x15","V2H",1,-0.355555555555553
"tai30_15_04","30x15","V2",1,-0.345098039215681
"tai30_15_04","30x15","MOR",1,2.22745098039215
"tai30_15_04","30x15","GT",1,-0.0261437908496732
"tai30_15_04","30x15","GP",1,-0.501960784313721
"tai30_15_04","30x15","MIX",1,-0.695424836601305
"tai30_15_05","30x15","A0",0.05,3.66218236173393
"tai30_15_05","30x15","V2H",0.05,3.15396113602393
"tai30_15_05","30x15","V2",0.05,3.33333333333334
"tai30_15_05","30x15","MOR",0.05,2.23218734429498
"tai30_15_05","30x15","GT",0.05,2.87493771798704
"tai30_15_05","30x15","GP",0.05,2.5909317389138
"tai30_15_05","30x15","MIX",0.05,2.8450423517688
"tai30_15_05","30x15","A0",0.1,3.42301943198803
"tai30_15_05","30x15","V2H",0.1,1.98804185351271
"tai30_15_05","30x15","V2",0.1,1.87842551071251
