"clase","n_inst","rpd_A0","rpd_V2H","rpd_V2","rpd_MOR","rpd_GT","rpd_GP","rpd_MIX","d_V2H","d_V2","d_MOR","d_GT","d_GP","d_MIX"
"10x10",1,0.77,1.11,1.14,1.96,1.66,1.87,1.37,0.34,0.37,1.19,0.89,1.1,0.6
"15x15",10,2.01,2.03,2.16,2.68,2.66,2.53,2.11,0.02,0.15,0.67,0.65,0.52,0.1
"20x20",10,3.99,3.96,3.98,4.93,5.06,4.41,3.98,-0.03,-0.01,0.94,1.07,0.42,-0.01
"30x15",10,3.25,3.29,3.38,4.15,3.84,3.44,3.27,0.04,0.13,0.9,0.59,0.19,0.02
"30x20",10,7.84,7.88,8.02,9.62,8.66,8.16,7.72,0.04,0.18,1.78,0.82,0.32,-0.12
"50x15",10,0.22,0.21,0.24,0.54,0.25,0.21,0.19,-0.01,0.02,0.32,0.03,-0.01,-0.03
"50x20",10,4.05,3.79,3.88,3.37,3.49,3.13,3.02,-0.26,-0.17,-0.68,-0.56,-0.92,-1.03
