"group","n_instances","chi2","p","sig","best_neigh"
"tai15_15",10,80.371,1.4532162024115e-16,TRUE,"n8"
"tai20_15",10,74.983,2.00903725187407e-15,TRUE,"next"
"tai20_20",10,40.763,3.00861373092044e-08,TRUE,"n8"
"tai30_15",10,63.905,4.37585706509367e-13,TRUE,"n2"
"tai30_20",10,92.271,4.33399969621715e-19,TRUE,"n1"
"tai50_15",10,111.474,3.52862711047558e-23,TRUE,"n2"
"tai50_20",10,184.483,8.12096153195627e-39,TRUE,"n1"
