7,8,12
7,8,13
6,7,13
8,10,13
8,12,13
0,7,13
2,7,13
3,7,13
3,7,8
3,8,10
3,8,12
3,8,13
4,8,13
6,10,13
6,7,8
6,8,13
7,10,13
7,11,13
0,10,13
0,7,8
10,12,13
12,13,14
3,6,13
4,7,13
4,7,8
7,12,13
7,8,10
7,9,13
8,13,14
8,9,13
0,3,13
0,4,13
0,4,8
0,6,13
1,3,8
1,7,13
1,7,8
10,11,13
11,12,13
2,10,13
3,10,13
3,11,13
3,12,13
3,13,14
3,4,8
3,7,11
4,10,13
4,11,13
4,12,13
5,10,13
5,7,13
6,11,13
6,8,12
7,13,14
7,8,14
7,8,9
9,10,13
9,12,13
0,12,13
0,5,13
1,13,14
1,8,13
11,13,14
2,3,13
2,7,8
3,7,12
4,6,13
5,7,12
5,7,8
5,8,13
0,1,13
2,3,8
3,6,7
8,11,13
6,12,13
