eps npe_rel
0.0 1.0000
0.5 0.8987
1.0 0.8987
1.5 0.8025
2.0 0.7589
3.0 0.7589
4.0 0.7589
5.0 0.7239
6.0 0.7102
8.0 0.6634
10.0 0.6634
