cmax npe
2162.5 40016.0
2163.0 39726.5
2165.5 39545.0
2192.0 39015.0
2193.5 38988.0
2196.5 38769.0
2199.5 38676.5
2214.0 38220.5
2215.0 38119.5
2216.5 37922.0
