eps npe_rel
0.0 1.0000
0.5 0.7105
1.0 0.0000
1.5 0.0000
2.0 0.0000
3.0 0.0000
4.0 0.0000
5.0 0.0000
6.0 0.0000
8.0 0.0000
10.0 0.0000
