eps npe_rel
0.0 1.0000
0.5 0.9896
1.0 0.9349
1.5 0.9349
2.0 0.9349
3.0 0.9349
4.0 0.9349
5.0 0.9302
6.0 0.9302
8.0 0.9208
10.0 0.7664
