eps npe_rel
0.0 1.0000
0.5 0.9714
1.0 0.9714
1.5 0.9680
2.0 0.9387
3.0 0.8926
4.0 0.8926
5.0 0.8926
6.0 0.8926
8.0 0.8926
10.0 0.8926
