eps npe_rel
0.0 1.0000
0.5 1.0000
1.0 0.8225
1.5 0.7883
2.0 0.7680
3.0 0.6575
4.0 0.5701
5.0 0.5191
6.0 0.5191
8.0 0.4789
10.0 0.4419
