inst     best    BKS     gap
ta22     1613   1600  +0.81%
ta23     1570   1557  +0.83%
ta25     1629   1595  +2.13%
ta26     1669   1643  +1.58%
ta27     1694   1680  +0.83%
ta29     1628   1625  +0.18%
ta30     1587   1584  +0.19%
ta32     1819   1784  +1.96%
ta33     1833   1791  +2.35%
ta34     1856   1829  +1.48%
ta40     1710   1669  +2.46%
ta41     2061   2005  +2.79%
ta42     1983   1937  +2.37%
ta43     1898   1846  +2.82%
ta44     2025   1979  +2.32%
ta45     2016   2000  +0.80%
ta46     2049   2004  +2.25%
ta47     1929   1889  +2.12%
ta48     1996   1937  +3.05%
ta49     1996   1961  +1.78%
ta50     1978   1923  +2.86%

870 runs recomputed from their schedules
at or below the best known: 0
