"A","B","n_pairs","mean_A","mean_B","mean_diff","W","p_raw","Z","effect_r","p_adj","sig"
"LEX1","YX",2460,1909.51,1901.55,7.96,2394886.5,7.32712288748107e-141,-25.2672,0.5094,4.39627373248864e-140,"***"
"EV","LEX1",2460,1903.34,1909.51,-6.16,782828.5,2.47400844827335e-94,20.605,0.4154,1.23700422413668e-93,"***"
"LEX1","LEX2",2460,1909.51,1903.93,5.58,2117344,3.31550593828055e-67,-17.3201,0.3492,1.32620237531222e-66,"***"
"LEX2","YX",2460,1903.93,1901.55,2.38,1790478.5,2.77290707223538e-15,-7.9007,0.1593,8.31872121670614e-15,"***"
"EV","YX",2460,1903.34,1901.55,1.79,1732117.5,7.25968367981588e-11,-6.5152,0.1314,1.45193673596318e-10,"***"
"EV","LEX2",2460,1903.34,1903.93,-0.59,1459609.5,0.19656300133502,1.2914,0.026,0.19656300133502,""
